"Identifiant","Genre","Age","LangueMaternelle","NiveauEtudes","Lateralite","JeuxAnnee","JeuxJour","JeuxIntensif","HeuresVol","HeuresSimu","ProportionSimu","ID","Participant","Group","Participant_RR","Points","zscore_SF","zscore_stroop","zscore_stopsignal","zscore_antisaccade","zscore_keeptrack","zscore_lettermemory","zscore_dualnback","zscore_numberletter","zscore_categoryswitch","zscore_colorshape","zscore_inhibition","zscore_WM","zscore_shifting","zscore_EF","antissaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","VGexp","Participant_Powerbrain","3_VFR-low_simu","3_VFR-high_simu","3_IFR-low_simu","3_IFR-high_simu","3_VFR-low_TLX","3_VFR-high_TLX","3_IFR-low_TLX","3_IFR-high_TLX","3_VFR-low_oddball","3_VFR-high_oddball","3_IFR-low_oddball","3_IFR-high_oddball","zscore_MATB"
"P001","H",27,"Française","Bac+5","Gaucher","1-10 fois","0 heures","Non",58,2,0,1,1,"B","P103",2290,0.65291654472275,-0.475930511700205,1.00640112843189,0.173454260057673,0.815523868060522,1.08242706918199,0.070301136255463,-0.835051943180179,-0.142625983573483,0.493718232726696,0.234641625596451,0.656084024499326,-0.161319898008989,0.243135250695596,454.377777777778,326.90625,96.9166949632145,0.883333333333333,25,0.916666666666667,160.735849056604,208.296296296296,791.227822580645,3,"P001",-0.560812999421767,-0.123267612268042,0.274762870700425,-1.5205898612369,66.6666666666667,63.3333333333333,69.1666666666667,90,20,15.9090909090909,14.7368421052632,52.8571428571429,0.54560868049079
"P002","H",21,"Française","Bac+2","Droitier","0 fois","0 heures","Non",105,0,50,2,2,"B","P107",1090,-0.290789894129746,0.102141555803058,-0.79551321617507,0.995689127781645,-1.00137999516272,0.21922573553053,0.963539102795471,0.705686038315624,0.753657572178953,-2.23258130485624,0.100772489136544,0.0604616143877592,-0.257745898120555,-0.0321705981987504,393.129411764706,-100.535038932147,483.561835106383,0.95,19,0.75,251.37037037037,113.787749287749,324.168097840229,2,"P002",-0.952394380647822,0.450278817278774,0.155975345926658,NA,35,56.6666666666667,58.3333333333333,70.8333333333333,NA,0,0,1.0416666666667,-2.23751245067867
"P003","H",19,"Française","Bac+2","Droitier","Plus de 60 fois","0-30 minutes","Oui",80,5,50,3,3,"B","P108",3020,1.22700462835802,0.0274983322744687,0.267757679455237,-0.0432784628923835,0.512706557523315,1.51402773600773,0.628574865342969,0.407000560850631,0.357390730500846,1.17358680798922,0.0839925162791074,0.885103052958003,0.645992699780233,0.538362756339114,470.522222222222,88.4462365591398,0.497399527186758,0.925,24,1,197.888888888889,125.991111111111,414.711693548387,5.5,"P003",0.0464344225893109,0.0850618603208648,-0.0397142582478333,0.167185612565834,50,65.8333333333333,59.1666666666667,80,0,1.0416666666667,4.21052631578949,14.7727272727273,1.05623926555986
"P004","H",21,"Française","Bac+5","Droitier","Plus de 60 fois","30-60 minutes","Oui",45,0,50,4,4,"A","P112",2170,0.5585459008375,-0.960081349584575,1.60641868240254,0.58217911576681,1.72397579967215,0.21922573553053,0.293610627890466,0.610757164305857,0.290643015236908,0.353311370629985,0.40950548286159,0.745604054364381,0.418237183390917,0.524448906872296,423.931818181818,120.278494623656,116.82926514271,0.9,28,0.75,130.555555555556,287.449735449735,352.944862155389,6,"P004",-0.0213005088632521,0.0157709021134306,-0.870133967821708,0.219180129222782,35,49.1666666666667,36.6666666666667,78.3333333333333,5.31914893617019,14.5833333333333,4.3010752688172,39.3258426966292,0.33080797868823
"P005","H",21,"Française","Bac+2","Droitier","1-10 fois","0-30 minutes","Non",1,1,50,5,5,"A","P123",1320,-0.109912826683018,-0.0846852023762315,-0.031931554977959,0.786599174483704,1.11834117859773,1.08242706918199,1.07519384861297,0.518175805771591,0.493685578785502,0.0263055700696169,0.223327472376504,1.09198736546423,0.346055651542237,0.553790163127658,408.704545454545,23.4466666666667,163.205388471178,0.958333333333333,26,0.916666666666667,212.962962962963,144.331908831909,381.01,3.5,"P005",-1.15304068250972,-0.270951850901342,-0.591727594923689,-1.22692731398819,68.3333333333333,76.6666666666667,72.5,84.1666666666667,25.3731343283582,49.0909090909091,44.5544554455445,80.7692307692308,0.0800031973285721
"P006","F",20,"Française","Bac+4","Droitier","1-10 fois","0-30 minutes","Non",20,20,0,6,6,"B","P125",485,-0.76657522371788,-1.22252929208613,0.88561404372732,0.0814211629756465,1.11834117859773,1.08242706918199,0.628574865342969,0.235416623069113,0.0446103032073518,1.02031028943858,-0.0851646951277219,0.943114371040898,0.433445738571681,0.430465138161619,461.233333333333,237.6125,22.2351507092199,0.925,26,0.916666666666667,166.811320754717,330.357142857143,466.725694444444,3.5,"P006",-0.0119625203580206,-0.719648573355885,0.0559098042573512,0.256800585456361,56.6666666666667,77.5,36.6666666666667,71.6666666666667,7.8947368421053,31.4465408805032,31.7073170731707,38.961038961039,-0.430952373719311
"P007","H",22,"Française","Bac+3","Gaucher","Plus de 60 fois","30-60 minutes","Oui",20,1,50,7,7,"B","P126",2185,0.570342231323157,0.335610277479324,-0.756487345352074,0.42215177129366,0.815523868060522,0.21922573553053,0.405265373707967,-1.55952509733686,0.603700759152203,0.663512349778805,0.000424901140303598,0.480004992433006,-0.0974373294686162,0.127664188034898,435.852272727273,-29.0200222469412,72.8364098448368,0.908333333333333,25,0.75,249.407407407407,75.6181318681319,1010.84480874317,6,"P007",0.393378676869105,0.979891421027247,-0.0589689992645473,-0.217953236420432,38.3333333333333,60.8333333333333,55.8333333333333,88.3333333333333,13.4328358208955,14.2857142857143,3.9473684210526,28.0487804878049,-0.00667213980813937
"P008","H",20,"Française","Bac+3","Gaucher","Plus de 60 fois","30-60 minutes","Oui",1,1,0,8,8,"A","P127",2490,0.810200951198166,0.322906545857955,0.212282313774844,0.282246799338129,-1.00137999516272,-0.212374931295202,-1.26955581355455,0.943686059864913,-0.0963807813154784,0.102152207325593,0.272478552990309,-0.827770246670825,0.316485828625009,-0.0796019550185021,446.27380952381,304.851724137931,152.448781103954,0.783333333333333,19,0.666666666666667,200.679245283019,77.6950549450549,252.020707506471,6,"P008",0.315957024524411,0.372969157242266,0.541578646906047,0.504892344254719,64.1666666666667,64.1666666666667,66.6666666666667,79.1666666666667,23.4375,23.0769230769231,32.3529411764706,64.6153846153846,-0.185363630558312
"P009","F",21,"Française","Bac+3","Droitier","11-30 fois","0-30 minutes","Non",2,1,50,9,9,"A","P135",760,-0.550309164814183,0.705678668919384,0.355381804510643,-1.42675816376078,-1.90983192677435,0.21922573553053,0.181955882072965,-0.334273690134761,-0.461328017271545,-0.499227319447494,-0.12189923011025,-0.502883436390284,-0.431609675617934,-0.352130780706156,573.577777777778,478.896551724138,237.736721113128,0.891666666666667,16,0.75,193.481481481481,15.1159420289855,639.421768707483,4.5,"P009",-1.05658976368735,-0.936896099112325,-0.76830555685341,-1.94442431698485,66.6666666666667,75,66.6666666666667,72.5,30.7692307692308,41.5929203539823,47.5,55.5555555555556,0.433487538301578
"P010","H",20,"Française","Bac+3","Droitier","31-60 fois","0-30 minutes","Oui",120,4000,0,10,10,"A","P139",1420,-0.0312706234453097,0.675885691222497,-0.724380265440381,0.872638661883948,0.815523868060522,1.51402773600773,0.293610627890466,1.14716368728842,0.332580732803388,1.02406678441288,0.274714695888688,0.874387410652905,0.834603734834898,0.66123528045883,402.295454545455,100.278225806452,21.7024027459954,0.9,25,1,247.792452830189,19.9867724867726,190.338444982513,4.5,"P010",0.59272423545015,1.01105318224394,0.669218954416692,0.838685901842485,45.8333333333333,33.3333333333333,45,75,10.4651162790698,20.2247191011236,26.5060240963855,58.5365853658537,-0.0865768424075068
"P011","H",21,"Française","Bac+4","Gaucher","1-10 fois","0 heures","Non",36,10,0,11,11,"A","P181",NA,NA,-0.870374518940544,0.641414068128956,-0.133480464989712,0.815523868060522,0.21922573553053,-0.0413536095620376,0.807065857255194,-0.229664072699409,0.358296848493388,-0.120813638600433,0.331131998009672,0.311899544349725,0.174072634586321,477.241379310345,368.415070242656,116.122222222222,0.875,25,0.75,179.094339622642,272.783636363636,293.435792349727,NA,"P011",-0.0696250081492063,0.101969420939981,-0.913146353110272,-0.735976259353753,66.6666666666667,91.6666666666667,86.6666666666667,100,21.5189873417722,28.9473684210526,32.4675324675325,29.8245614035088,0.039436599840484
"P012","H",22,"Française","Bac+4","Droitier","Plus de 60 fois","30-60 minutes","Oui",10,1,0,12,12,"B","P144",3640,1.71458628843181,0.606936268755075,0.70443341667047,-0.977332359047411,1.72397579967215,1.51402773600773,0.516920119525467,0.958911007516829,0.508575458684349,0.993005769569062,0.111345775459378,1.25164121840178,0.82016407859008,0.727717024150413,540.1,16.3456221198156,26.1074911347517,0.916666666666667,28,1,175.924528301887,31.2592592592592,247.405412793877,6,"P012",0.4814061011555,-0.130650389340437,0.338016862381063,-0.808086803725869,34.1666666666667,66.6666666666667,55.8333333333333,88.3333333333333,4,28.75,10.7142857142857,40.3225806451613,0.572301751775334
"P013","H",22,"Autre","Bac+3","Droitier","Plus de 60 fois","0-30 minutes","Non",180,1,50,13,13,"B","P147",2255,0.625391773589552,-1.43040508549795,-0.362019011326682,0.977063270446337,-1.90983192677435,-1.5071769317724,0.405265373707967,-1.75850464450459,0.356942498985021,-0.126179526720483,-0.271786942126098,-1.00391449494626,-0.509247224080017,-0.594982887050791,394.516853932584,88.66,184.830899830221,0.908333333333333,16,0.416666666666667,229.566037735849,364.342592592593,1071.16352201258,6.5,"P013",-0.0584863526136448,-1.1794139986732,NA,0.635364392233829,35,68.3333333333333,56.6666666666667,69.1666666666667,2.5641025641026,NA,21.5189873417722,41.4634146341463,0.941627593641354
"P014","H",23,"Française","Bac+4","Droitier","Plus de 60 fois","0-30 minutes","Non",25,20,50,14,14,"B","P152",1910,0.35407617241946,1.07926554126094,-0.273491831232652,-0.100644901260663,-1.60701461623714,0.21922573553053,-0.26466310119704,0.503738069876991,0.443179266444556,1.17898257620119,0.235042936255875,-0.550817327301216,0.708633304174247,0.130952971042969,474.795454545455,47.5333333333333,-0.267830972154457,0.858333333333333,17,0.75,225.11320754717,-45.9614814814815,385.386659129452,6.5,"P014",1.15383650260155,0.875346158230015,-0.0389432369344406,0.0475445442455015,60,76.6666666666667,66.6666666666667,99.1666666666667,1.1904761904762,23.3082706766917,14.2857142857143,28.9156626506024,-0.0351864827746513
"P015","H",21,"Française","Bac+4","Droitier","31-60 fois","0-30 minutes","Oui",10,1,0,15,15,"A","P153",2350,0.700101866665375,0.239122411117018,0.591009703819299,1.38720277160008,0.815523868060522,0.650826402356262,0.628574865342969,0.608061901773727,0.523164746774343,0.886267471053986,0.739111628845467,0.698308378586585,0.672498039867352,0.703306015766468,363.965517241379,9.38793103448279,41.2451690821256,0.925,25,0.833333333333333,181.62962962963,91.3928571428571,353.761904761905,4.5,"P015",-0.0314638583953665,-0.0721205357005369,-0.01960771375052,0.344016556292201,59.1666666666667,55.8333333333333,48.3333333333333,47.5,17.0212765957447,40.5063291139241,24.5283018867924,33.6734693877551,0.68394889058087
"P016","H",24,"Autre","Bac+6","Droitier","1-10 fois","0 heures","Oui",44,1,0,16,16,"A","P156",850,-0.479531181900245,0.93890621030115,-2.18620408250155,-0.842824030550676,-0.698562684625516,0.650826402356262,0.181955882072965,-0.407341052662244,0.0691463887387939,-0.356150738145124,-0.696707300917025,0.0447398666012371,-0.231448467356192,-0.294471967223993,530.080459770115,225.911140583554,217.445530043967,0.891666666666667,20,0.833333333333333,321.320754716981,-23.014245014245,661.571428571429,2,"P016",-0.781252912129657,-0.436346493723369,-0.215490833560958,-0.165913430256108,53.3333333333333,60,75.8333333333333,76.6666666666667,32.9896907216495,35.7142857142857,66.1538461538462,76.056338028169,-1.47612567285303
"P017","H",24,"Française","Bac+5","Droitier","31-60 fois","0-30 minutes","Non",78,250,2,17,17,"B","P160",1860,0.314755070800606,0.849910383976961,-0.583712076731648,-0.0516315478787584,-0.0929280635511008,0.21922573553053,0.851884356977971,0.760885835416305,0.134790665608919,0.956839853387688,0.0715222531221848,0.326060676319133,0.61750545147097,0.33836279363743,471.144444444444,194.60511679644,31.236559139785,0.941666666666667,22,0.75,240.716981132075,-8.46438746438753,307.434816549571,5.5,"P017",0.0241118511734247,0.297865255882143,0.207019333032671,0.560728392147109,35,57.5,45,65,2.2988505747126,6.0975609756098,1.1111111111111,3.6144578313253,-0.00175144469556229
"P019","H",29,"Française","Bac+6","Droitier","11-30 fois","0-30 minutes","Oui",170,20,9,19,19,"B","P168",2890,1.124769764149,-0.160075488970127,-0.446419924551922,1.01190689742602,0.815523868060522,0.650826402356262,1.07519384861297,-1.05966899452611,-0.0370242561821968,-0.715545208142611,0.135137161301324,0.847181373009919,-0.604079486283639,0.126079682675868,391.921348314607,276.54435483871,268.415030388032,0.958333333333333,25,0.833333333333333,233.811320754717,156.657407407407,859.318295739348,3.5,"P019",-0.135079604387149,0.366751195645647,-0.457708586702014,0.106566545446117,38.3333333333333,63.3333333333333,67.5,75.8333333333333,0,2.27272727272729,1.1363636363636,8.6538461538462,NA
"P020","H",21,"Française","Bac+3","Droitier","31-60 fois","0-30 minutes","Oui",67,400,50,20,20,"A","P169",5160,2.90994777764497,0.0728654664698609,1.03649370094973,0.230285070411405,1.42115848913494,0.650826402356262,0.516920119525467,0.892736676488355,-0.00107540657064283,0.178978390149007,0.446548079276997,0.862968337005556,0.356879886688907,0.55546543432382,450.144444444444,259.400201612903,141.553254102999,0.916666666666667,27,0.833333333333333,159.222222222222,118.574074074074,267.465517241379,4.5,"P020",0.748047173483559,0.437483850736843,0.969379488489022,0.859832709924732,61.6666666666667,66.6666666666667,58.3333333333333,71.6666666666667,1.2345679012346,3.2967032967033,0,17.9775280898876,0.900039091397821
"P021","H",23,"Française","Bac+4","Droitier","Plus de 60 fois","30-60 minutes","Oui",60,20,0,21,21,"B","P170",3335,1.4747275685568,0.180072853903196,-0.519386771672739,0.648386806425864,0.209889246986107,1.08242706918199,1.07519384861297,1.28690018160468,-0.0406154068201725,0.563485814567775,0.103024296218773,0.789170054927025,0.603256863117427,0.498483738087742,419,278.256989247312,87.0222222222222,0.958333333333333,23,0.916666666666667,237.481481481481,101.046822742475,147.978686635945,6,"P021",0.370129279761533,0.222461952382753,0.351813648294277,-0.499531980487313,28.3333333333333,59.1666666666667,59.1666666666667,79.1666666666667,1.1363636363636,10.8433734939759,10.8433734939759,33.3333333333333,-0.511887125784556
"P022","H",23,"Française","Bac+5","Droitier","Plus de 60 fois","1-2 heures","Non",48,1,0,22,22,"A","P172",2330,0.684373426017833,0.307020035306951,-1.1718926631191,0.974543586677146,1.42115848913494,0.650826402356262,0.293610627890466,0.532398882530742,-0.012293172484003,0.829084834418858,0.0365569862883318,0.788531839793889,0.449730181488532,0.424939669190251,394.704545454545,264.75,49.3548387096774,0.9,27,0.833333333333333,270.301886792453,80.2923280423281,376.698412698413,8,"P022",-0.442858739228776,-0.230759501630115,-0.277743441806447,-0.0401743825680408,55,70.8333333333333,62.5,86.6666666666667,5.4945054945055,19.5652173913043,16.1290322580645,39.3258426966292,0.487060383558176
"P023","H",22,"Française","Bac+4","Droitier","1-10 fois","0 heures","Oui",53,1,0,23,23,"A","P171",1560,0.0788284610874815,-0.742593738067701,-1.72368707802723,-0.39644377726966,1.42115848913494,1.51402773600773,0.516920119525467,-0.00391611009153482,0.280432530157022,2.33821126143959,-0.95424153112153,1.15070211488938,0.871575893835024,0.356012159200957,496.829545454545,125.147916666667,-164.670212765957,0.916666666666667,27,1,298.056603773585,251.892857142857,539.277083333333,2,"P023",0.202605000089295,0.39468283802368,0.568323098507768,0.0436789247593264,60,84.1666666666667,70.8333333333333,78.3333333333333,27.0588235294118,55.1724137931034,54.2168674698795,81.9277108433735,-0.323269325231623
"P024","H",24,"Française","Bac+5","Droitier","Plus de 60 fois","1-2 heures","Oui",90,10,0,24,24,"A","P174",2970,1.18768352673916,0.368606247466104,-1.61284749190197,0.907929089931093,-0.395745374088309,-0.212374931295202,0.628574865342969,-1.21347318635987,0.110547740800267,0.00985267062381478,-0.11210405150159,0.00681818665315304,-0.364357591645265,-0.156547818831234,399.666666666667,206.166666666667,165.538746755654,0.925,21,0.666666666666667,292.481481481481,70.2236467236468,905.94253968254,7,"P024",0.437444298618214,-0.270825834176288,0.889256430884403,0.550794605919172,30,36.6666666666667,36.6666666666667,60,11.25,12.8205128205128,14.6341463414634,51.2820512820513,0.515860937244193
"P025","H",23,"Française","Bac+5","Droitier","1-10 fois","0-30 minutes","Oui",110,50,0,25,25,"A","P176",1305,-0.121709157168674,0.27807131040805,-0.628725897118442,0.634057176282704,0.512706557523315,0.650826402356262,-0.153008355379538,-1.39952966336984,-0.204050808669148,1.28241148901251,0.0944675298574374,0.336841534833346,-0.10705632767549,0.108084245671764,420.067415730337,356.2,-14.9361702127659,0.866666666666667,24,0.833333333333333,242.981132075472,85.0251322751323,962.34375,2.5,"P025",-0.0106602876213601,0.0441082356052233,-0.860989473419507,-0.273351447488688,23.3333333333333,72.5,73.3333333333333,84.1666666666667,11.9565217391304,19.4805194805195,30.4878048780488,27.3972602739726,-0.0586863004400348
"P026","F",19,"Française","Bac+3","Droitier","1-10 fois","0 heures","Non",160,1,50,26,26,"A","P175",1805,0.271501859019866,-0.234259630557056,0.863482248703812,-0.306400639963202,-0.395745374088309,0.650826402356262,0.963539102795471,0.521937757730186,-0.182592964926178,0.809276975153365,0.107607326061185,0.406206710354475,0.382873922652458,0.298895986356039,490.122222222222,345.966666666667,52.1639990444338,0.95,21,0.833333333333333,167.924528301887,168.785714285714,379.869600874795,3,"P026",0.919610984511883,-0.684357360436231,-0.0481872112692877,0.22622992775737,52.5,71.6666666666667,59.1666666666667,70.8333333333333,9.8765432098765,21.6867469879518,28.4090909090909,58.1395348837209,-0.124117158252211
"P027","H",24,"Autre","Bac+5","Gaucher","11-30 fois","0 heures","Oui",26,1,51,27,27,"B","P173",740,-0.566037605461724,0.398154310673421,-0.411909328922046,0.190407319241844,-1.30419730569993,-0.212374931295202,-1.26955581355455,-1.79992834298009,0.443048494674345,-0.337551833845082,0.0588841003310727,-0.928709350183228,-0.564810560716943,-0.478211936856366,453.114942528736,47.5956989247313,214.8078242965,0.783333333333333,18,0.666666666666667,232.075471698113,65.3928571428572,1083.72071307301,3,"P027",0.505127907662845,-0.71842199126583,0.412527070297597,0.775060833741878,60.8333333333333,72.5,58.3333333333333,74.1666666666667,5.81395348837211,27.6595744680851,22.4719101123596,26.25,-1.91978012578621
"P028","H",23,"Autre","Bac+6","Droitier","1-10 fois","0 heures","Oui",15,1,0,28,28,"B","P177",1295,-0.129573377492445,0.622595926955697,0.0731145857456696,1.43555658476853,-0.698562684625516,-0.212374931295202,0.628574865342969,0.261234061413086,0.0921990308805499,-0.26473174826084,0.710422365823298,-0.0941209168592495,0.0295671146775985,0.215289521213882,360.363636363636,214.91724137931,204.48044397463,0.925,20,0.666666666666667,207.679245283019,28.699074074074,458.899389263902,2,"P028",-0.603817025130248,0.0434589746289851,-0.152956006772236,-0.0664050874446931,48.3333333333333,55,45,69.1666666666667,22.680412371134,23.5294117647059,24.468085106383,43.6781609195402,0.0281461206293303
"P029","H",20,"Française","Bac+4","Gaucher","Plus de 60 fois","30-60 minutes","Oui",130,2000,26,29,29,"A","P178",2355,0.70403397682726,-0.442441817380141,-1.3956280222268,0.967743144922816,-1.00137999516272,-0.212374931295202,0.181955882072965,-0.0378280004159981,0.396302847757415,0.587876858792608,-0.290108898228042,-0.343933014794987,0.315450568711342,-0.106197114770562,395.211111111111,69.8888888888889,83.5630723443223,0.891666666666667,19,0.666666666666667,281.555555555556,202.821256038647,549.557142857143,6,"P029",0.374030988883245,-0.222906131402816,0.581449382083721,0.413906712944762,61.6666666666667,58.3333333333333,40,61.6666666666667,1.2048192771084,10.126582278481,1.1627906976744,20.4819277108434,0.420437831116353
"P030","H",23,"Française","Bac+5","Droitier","1-10 fois","0 heures","Oui",100,1,50,30,30,"A","P179",1395,-0.0509311742547367,0.101935552708473,-0.746136945294,0.662120018811099,1.11834117859773,-0.643975598120933,-1.71617479682455,0.316132865659273,0.45503088087344,-0.492799024806545,0.00597287540852409,-0.413936405449252,0.0927882405753896,-0.105058429821779,417.977011494253,41.8812499999999,236.825057208238,0.75,26,0.583333333333333,248.88679245283,113.821428571429,442.257351027843,2,"P030",0.049565855265902,0.552696312911616,NA,0.218510181731217,40,38.3333333333333,30,80,0,2.247191011236,2.1276595744681,12.4137931034483,-0.245814800517121
"P031","H",20,"Française","Bac+2","Droitier","31-60 fois","0 heures","Oui",1,1,50,31,31,"B","P180",3460,1.57303032260393,0.230515464904762,0.462065734401954,-0.560423920888148,-0.395745374088309,-0.212374931295202,0.070301136255463,0.183414315188509,-0.118530079281674,-0.980863163468449,0.0440524261395228,-0.179273056376016,-0.305326309187205,-0.146848979807899,509.044444444444,315.414814814815,306.042553191489,0.883333333333333,21,0.666666666666667,188.115384615385,92.8,482.489687995769,4,"P031",-0.725065659496597,-0.255283163226991,-1.07829339803803,0.647548784535086,59.1666666666667,70.8333333333333,85,75,12.0481927710843,11.2359550561798,15.2941176470588,39.2857142857143,0.687990772566337
